,index,designation,distance,magnitude,absoluteMagnitude,scaledMagnitude,spectralType,spectralColor,colorIndex,xCoord,yCoord,zCoord,constellation,luminosity
54679,54679,4360.0,130.039,5.75,0.18,0.19622,K,16623706,1.3090000000000002,-76.252877,15.632857000000001,-104.169878,Cen,73.79042301291011
54681,54681,4351.0,114.0251,6.33,1.045,0.18757,K,16623706,1.15,-84.18966400000001,17.255548,74.940606,UMa,33.26595532940045
54688,54688,69    Leo,161.8123,5.4,-0.645,0.20446999999999999,A,13291261,-0.02,-158.52981499999999,32.426753000000005,-0.196284,Leo,157.76112696993485
54702,54702,4358.0,60.5694,5.79,1.879,0.17923,K,16623706,1.128,-58.768786,11.948482,8.493186999999999,Leo,15.431210656577914
54712,54712,Zosma,17.9147,2.56,1.294,0.18508,A,13291261,0.128,-16.442201,3.337108,6.280742,Leo,26.448436268543606
54718,54718,70The Leo,50.6073,3.33,-0.191,0.19993,A,13291261,-0.003,-47.814213,9.675761,13.464276000000002,Leo,103.84844550082741
54745,54745,NN 3651,21.1149,7.76,6.1370000000000005,0.13665,K,16623706,0.845,-18.651678,3.747906,9.160125,Leo,0.3056328280365965
54761,54761,GJ 1143A,23.0468,9.02,7.207000000000001,0.12595,K,16623706,1.1079999999999999,-20.787284,4.15344,-9.043936,Crt,0.11407750129221204
54768,54768,4364.0,244.4988,6.22,-0.721,0.20523,K,16623706,1.6059999999999999,-173.255938,34.539766,-169.023924,Cen,169.19986025030056
54790,54790,Gl 420A,14.6456,7.68,6.851,0.12951000000000001,K,16623706,1.043,-4.086332,0.809146,14.040757999999999,Dra,0.15834341239145747
54801,54801,Gl 421A,15.9923,10.02,9.0,0.10801999999999999,K,16623706,1.34,-14.909199,2.943565,-4.980594,Crt,0.02187761623949552
54804,54804,Gl 421B,14.2633,9.97,9.199,0.10603,K,16623706,1.34,-13.297719,2.624087,-4.441978,Crt,0.018213776371047784
54853,54853,73    Leo,118.4834,5.31,-0.057999999999999996,0.1986,K,16623706,1.189,-113.170689,22.067345,27.272362,Leo,91.87556016660622
54870,54870,4366.0,66.6223,6.66,2.542,0.1726,F,16773591,0.29,-63.759570999999994,12.404176,14.810827,Leo,8.379150674384096
54880,54880,Gl 421.1B,43.2713,7.9,4.718999999999999,0.15083000000000002,F,16773591,0.601,-25.696112,4.9877400000000005,34.455839000000005,UMa,1.1282361216489918
